chan_id,num_values
I-1,4960
I-2,4197
I-3,5064
I-4,3767
I-5,3623
I-6,5098
I-7,4466
I-8,5266
I-9,4338
J-1,4897
J-2,3304
J-3,3805
J-4,3375
J-5,3762
J-6,3873
J-7,4758
J-8,3427
J-9,4958
J-10,4638
K-7,4241
K-8,5424
K-9,4700
K-10,4880
K-11,4758
K-12,4172
K-13,5455
K-14,4406
K-15,3345
K-16,4458
K-17,4713
K-18,3912
K-19,4251
K-20,4968
K-21,4388
K-22,3731
K-23,5371
K-24,4889
K-25,4068
K-26,4387
K-27,5005
K-28,3666
K-29,4567
K-30,4144
K-31,3478
K-32,4571
K-33,4847
K-34,5392
V-7,4348
V-8,4916
V-9,5066
V-10,3451
V-11,4544
V-12,5422
V-13,4165
V-14,3863
V-15,5412
V-16,3439
V-17,3940
N-1,3913
N-2,4719
N-3,3927
N-4,4977
N-5,5146
N-6,4247
N-7,4497
N-8,4468
N-9,5352
N-10,5358
N-11,4142
N-12,3897
V-3,4068
V-4,3722
V-5,4000
V-6,4817
V-7,4931
V-8,4948
V-9,4433
V-10,4966
V-11,5113
V-12,3382
V-13,3662
V-14,3838
V-15,3888
V-16,5113
X-5,5222
X-6,4253
X-7,4743
X-8,5130
X-9,3433
X-10,4135
X-11,4773
X-12,3592
X-13,5117
X-14,4211
X-15,3560
X-16,4491
X-17,3421
X-18,3646
X-19,4632
X-20,3327
X-21,3518
W-4,4129
W-5,4599
W-6,5447
W-7,4935
W-8,3781
W-9,5349
W-10,5111
W-11,4723
W-12,4740
W-13,4229
W-14,4900
